Country Name,cooks_d
Eritrea,0.06769035608331482
Lesotho,0.054295100876937924
Suriname,0.04884209283859985
Ukraine,0.04411104818269916
"Korea, Rep.",0.04397068660501972
Guyana,0.03555130667871335
Eswatini,0.0325679633033897
Lithuania,0.020244883421566395
"Micronesia, Fed. Sts.",0.019887547553700095
Solomon Islands,0.016223195026266072
United Arab Emirates,0.014109594688301742
South Africa,0.013441619105621012
Uruguay,0.011967731831448261
Russian Federation,0.011492265765413179
Kiribati,0.010957808658546035
Vanuatu,0.008271338455361306
Saudi Arabia,0.008210889179846977
Slovenia,0.008105792771592634
Belgium,0.00755531854157899
Mongolia,0.007433428153012675
